SDM_ICHEC-EC-EARTH_rcp26_r12i1p1_CLMcom-CCLM4-8-17;2014-2033;;;
SDM_ICHEC-EC-EARTH_rcp26_r12i1p1_KNMI-RACMO22E;2014-2033;;;
SDM_ICHEC-EC-EARTH_rcp26_r12i1p1_SMHI-RCA4;2014-2033;;;
SDM_MOHC-HadGEM2-ES_rcp26_r1i1p1_SMHI-RCA4;2014-2033;;;
SDM_MPI-M-MPI-ESM-LR_rcp26_r1i1p1_MPI-CSC-REMO2009;2013-2032;;;
SDM_MPI-M-MPI-ESM-LR_rcp26_r1i1p1_SMHI-RCA4;2013-2032;;;
SDM_MPI-M-MPI-ESM-LR_rcp26_r2i1p1_MPI-CSC-REMO2009;2007-2026;;;
SDM_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_CLMcom-CCLM4-8-17;2028-2047;2049-2068;;
SDM_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_CNRM-ALADIN53;2028-2047;2049-2068;;
SDM_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_SMHI-RCA4;2028-2047;2049-2068;;
SDM_ICHEC-EC-EARTH_rcp45_r12i1p1_CLMcom-CCLM4-8-17;2013-2032;2035-2054;;
SDM_ICHEC-EC-EARTH_rcp45_r12i1p1_SMHI-RCA4;2013-2032;2035-2054;;
SDM_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E;2013-2032;2035-2054;;
SDM_MOHC-HadGEM2-ES_rcp45_r1i1p1_CLMcom-CCLM4-8-17;2019-2038;2034-2053;2069-2088;
SDM_MOHC-HadGEM2-ES_rcp45_r1i1p1_SMHI-RCA4;2019-2038;2034-2053;2069-2088;
SDM_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-INERIS-WRF331F;2007-2026;2024-2043;2068-2087;
SDM_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_SMHI-RCA4;2007-2026;2024-2043;2068-2087;
SDM_MPI-M-MPI-ESM-LR_rcp45_r1i1p1_CLMcom-CCLM4-8-17;2013-2032;2035-2054;;
SDM_MPI-M-MPI-ESM-LR_rcp45_r1i1p1_SMHI-RCA4;2013-2032;2035-2054;;
SDM_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CLMcom-CCLM4-8-17;2021-2040;2036-2055;2058-2077;2078-2097
SDM_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN53;2021-2040;2036-2055;2058-2077;2078-2097
SDM_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_SMHI-RCA4;2021-2040;2036-2055;2058-2077;2078-2097
SDM_ICHEC-EC-EARTH_rcp85_r12i1p1_CLMcom-CCLM4-8-17;2009-2028;2025-2044;2051-2070;
SDM_ICHEC-EC-EARTH_rcp85_r12i1p1_SMHI-RCA4;2009-2028;2025-2044;2051-2070;
SDM_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E;2010-2029;2026-2045;2052-2071;2073-2092
SDM_MOHC-HadGEM2-ES_rcp85_r1i1p1_CLMcom-CCLM4-8-17;2014-2033;2026-2045;2045-2064;2062-2081
SDM_MOHC-HadGEM2-ES_rcp85_r1i1p1_SMHI-RCA4;2014-2033;2026-2045;2045-2064;2062-2081
SDM_IPSL-IPSL-CM5A-MR_rcp85_r1i1p1_IPSL-INERIS-WRF331F;2006-2025;2021-2040;2041-2060;2057-2076
SDM_IPSL-IPSL-CM5A-MR_rcp85_r1i1p1_SMHI-RCA4;2006-2025;2021-2040;2041-2060;2057-2076
SDM_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CLMcom-CCLM4-8-17;2008-2027;2028-2047;2052-2071;2072-2091
SDM_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_SMHI-RCA4;2008-2027;2028-2047;2052-2071;2072-2091
SDM_ICHEC-EC-EARTH_rcp26_r3i1p1_DMI-HIRHAM5;2014-2033;;;
SDM_ICHEC-EC-EARTH_rcp45_r3i1p1_DMI-HIRHAM5;2013-2032;2035-2054;;
SDM_ICHEC-EC-EARTH_rcp85_r3i1p1_DMI-HIRHAM5;2010-2029;2026-2045;2052-2071;2073-2092
